;domain;date;name;serving_time;level;nutrition;allergens;tags;ingredient
5;de;5/18;Tandoori-Lachs mit gebratenem Pak Choi und cremigen Kokos-Linsen;20 bis 30 Minuten;einfach;Kalorien 734kcal, Fett 45.4g, Eiweiß 41.0g, Kohlenhydrate 35.0g;Fisch. Kann Spuren von anderen Allergenen enthalten.;['SCHARF', 'GLUTENARM', 'UNTER 30MIN.', 'LOW CARB', 'FISCH', 'OHNE MILCHPRODUKTE', 'FIT & GESUND'];Pak Choi
6;de;5/18;Tandoori-Lachs mit gebratenem Pak Choi und cremigen Kokos-Linsen;20 bis 30 Minuten;einfach;Kalorien 734kcal, Fett 45.4g, Eiweiß 41.0g, Kohlenhydrate 35.0g;Fisch. Kann Spuren von anderen Allergenen enthalten.;['SCHARF', 'GLUTENARM', 'UNTER 30MIN.', 'LOW CARB', 'FISCH', 'OHNE MILCHPRODUKTE', 'FIT & GESUND'];Unbehandelte Limette
7;de;5/18;Tandoori-Lachs mit gebratenem Pak Choi und cremigen Kokos-Linsen;20 bis 30 Minuten;einfach;Kalorien 734kcal, Fett 45.4g, Eiweiß 41.0g, Kohlenhydrate 35.0g;Fisch. Kann Spuren von anderen Allergenen enthalten.;['SCHARF', 'GLUTENARM', 'UNTER 30MIN.', 'LOW CARB', 'FISCH', 'OHNE MILCHPRODUKTE', 'FIT & GESUND'];Frischer Ingwer
8;de;5/18;Tandoori-Lachs mit gebratenem Pak Choi und cremigen Kokos-Linsen;20 bis 30 Minuten;einfach;Kalorien 734kcal, Fett 45.4g, Eiweiß 41.0g, Kohlenhydrate 35.0g;Fisch. Kann Spuren von anderen Allergenen enthalten.;['SCHARF', 'GLUTENARM', 'UNTER 30MIN.', 'LOW CARB', 'FISCH', 'OHNE MILCHPRODUKTE', 'FIT & GESUND'];Knoblauch
9;de;5/18;Tandoori-Lachs mit gebratenem Pak Choi und cremigen Kokos-Linsen;20 bis 30 Minuten;einfach;Kalorien 734kcal, Fett 45.4g, Eiweiß 41.0g, Kohlenhydrate 35.0g;Fisch. Kann Spuren von anderen Allergenen enthalten.;['SCHARF', 'GLUTENARM', 'UNTER 30MIN.', 'LOW CARB', 'FISCH', 'OHNE MILCHPRODUKTE', 'FIT & GESUND'];Zwiebel
0;de;5/18;Rahmchampignons mit Käse an Ofenkartoffeln und Karottensalat;40 bis 50 Minuten;einfach;Kalorien 796kcal, Fett 49.6g, Eiweiß 26.0g, Kohlenhydrate 53.3g;Milch, Eier und Senf. Kann Spuren von anderen Allergenen enthalten.;['VEGETARISCH', 'GLUTENARM', 'FAMILIENFREUNDLICH'];Geriebener Gouda
1;de;5/18;Rahmchampignons mit Käse an Ofenkartoffeln und Karottensalat;40 bis 50 Minuten;einfach;Kalorien 796kcal, Fett 49.6g, Eiweiß 26.0g, Kohlenhydrate 53.3g;Milch, Eier und Senf. Kann Spuren von anderen Allergenen enthalten.;['VEGETARISCH', 'GLUTENARM', 'FAMILIENFREUNDLICH'];Crème fraîche
2;de;5/18;Rahmchampignons mit Käse an Ofenkartoffeln und Karottensalat;40 bis 50 Minuten;einfach;Kalorien 796kcal, Fett 49.6g, Eiweiß 26.0g, Kohlenhydrate 53.3g;Milch, Eier und Senf. Kann Spuren von anderen Allergenen enthalten.;['VEGETARISCH', 'GLUTENARM', 'FAMILIENFREUNDLICH'];Mayonnaise
3;de;5/18;Rahmchampignons mit Käse an Ofenkartoffeln und Karottensalat;40 bis 50 Minuten;einfach;Kalorien 796kcal, Fett 49.6g, Eiweiß 26.0g, Kohlenhydrate 53.3g;Milch, Eier und Senf. Kann Spuren von anderen Allergenen enthalten.;['VEGETARISCH', 'GLUTENARM', 'FAMILIENFREUNDLICH'];Frischer Schnittlauch & Petersilie
4;de;5/18;Rahmchampignons mit Käse an Ofenkartoffeln und Karottensalat;40 bis 50 Minuten;einfach;Kalorien 796kcal, Fett 49.6g, Eiweiß 26.0g, Kohlenhydrate 53.3g;Milch, Eier und Senf. Kann Spuren von anderen Allergenen enthalten.;['VEGETARISCH', 'GLUTENARM', 'FAMILIENFREUNDLICH'];Knoblauch
